,Symbol,Company Name,Exchange/ Market,Price,Shares,Date,Offer Amount,Actions
0,MTALU,Metals Acquisition Corp,NYSE,10.0,25000000,07/29/2021,"$250,000,000",Priced
1,RSKD,Riskified Ltd.,NYSE,21.0,17500000,07/29/2021,"$367,500,000",Priced
2,ICVX,"Icosavax, Inc.",NASDAQ Global Select,15.0,12133333,07/29/2021,"$181,999,995",Priced
3,HOOD,"Robinhood Markets, Inc.",NASDAQ Global Select,38.0,55000000,07/29/2021,"$2,090,000,000",Priced
4,COOK,"Traeger, Inc.",NYSE,18.0,23529411,07/29/2021,"$423,529,398",Priced
5,SWAGU,Software Acquisition Group Inc. III,NASDAQ Capital,10.0,20000000,07/29/2021,"$200,000,000",Priced
6,IMAQU,International Media Acquisition Corp.,NASDAQ Capital,10.0,20000000,07/29/2021,"$200,000,000",Priced
7,RLYB,Rallybio Corp,NASDAQ Global,13.0,6200000,07/29/2021,"$80,600,000",Priced
8,NUVL,"Nuvalent, Inc.",NASDAQ Global,17.0,9150000,07/29/2021,"$155,550,000",Priced
9,DALS,DA32 Life Science Tech Acquisition Corp.,NASDAQ Capital,10.0,20000000,07/28/2021,"$200,000,000",Priced
10,MEACU,Mercury Ecommerce Acquisition Corp,NASDAQ Capital,10.0,17500000,07/28/2021,"$175,000,000",Priced
11,DUOL,"Duolingo, Inc.",NASDAQ Global Select,102.0,5106113,07/28/2021,"$520,823,526",Priced
12,MLNK,"MeridianLink, Inc.",NYSE,26.0,13200000,07/28/2021,"$343,200,000",Priced
13,SNPO,Snap One Holdings Corp.,NASDAQ Global Select,18.0,13850000,07/28/2021,"$249,300,000",Priced
14,APTMU,Alpha Partners Technology Merger Corp.,NASDAQ Capital,10.0,25000000,07/28/2021,"$250,000,000",Priced
15,PWSC,"POWERSCHOOL HOLDINGS, INC.",NYSE,18.0,39473685,07/28/2021,"$710,526,330",Priced
16,WRACU,Williams Rowland Acquisition Corp.,NYSE,10.0,20000000,07/27/2021,"$200,000,000",Priced
17,ALPAU,ALPHA HEALTHCARE ACQUISITION CORP III,NASDAQ Capital,10.0,15000000,07/27/2021,"$150,000,000",Priced
18,CADL,"Candel Therapeutics, Inc.",NASDAQ Global,8.0,9000000,07/27/2021,"$72,000,000",Priced
19,GAMB,Gambling.com Group Ltd,NASDAQ Global,8.0,5250000,07/23/2021,"$42,000,000",Priced
20,XPOF,"Xponential Fitness, Inc.",NYSE,12.0,10000000,07/23/2021,"$120,000,000",Priced
21,CNM,"Core & Main, Inc.",NYSE,20.0,34883721,07/23/2021,"$697,674,420",Priced
22,OB,Outbrain Inc.,NASDAQ Global Select,20.0,8000000,07/23/2021,"$160,000,000",Priced
23,CTKB,"Cytek BioSciences, Inc.",NASDAQ Global Select,17.0,14564635,07/23/2021,"$247,598,795",Priced
24,CRBU,"Caribou Biosciences, Inc.",NASDAQ Global Select,16.0,19000000,07/23/2021,"$304,000,000",Priced
25,BLNGU,Belong Acquisition Corp.,NASDAQ Capital,10.0,15000000,07/23/2021,"$150,000,000",Priced
26,SOPH,SOPHiA GENETICS SA,NASDAQ Global Select,18.0,13000000,07/23/2021,"$234,000,000",Priced
27,ABSI,AbSci Corp,NASDAQ Global,16.0,12500000,07/22/2021,"$200,000,000",Priced
28,RYAN,"RYAN SPECIALTY GROUP HOLDINGS, INC.",NYSE,23.5,56918278,07/22/2021,"$1,337,579,533",Priced
29,BASE,"Couchbase, Inc.",NASDAQ Global Select,24.0,8339130,07/22/2021,"$200,139,120",Priced
30,ZENV,Zenvia Inc.,NASDAQ Capital,13.0,11538462,07/22/2021,"$150,000,006",Priced
31,INST,"INSTRUCTURE HOLDINGS, INC.",NYSE,20.0,12500000,07/22/2021,"$250,000,000",Priced
32,ZVIA,Zevia PBC,NYSE,14.0,10700000,07/22/2021,"$149,800,000",Priced
33,TCBC,"TC Bancshares, Inc.",NASDAQ Capital,10.0,4898350,07/21/2021,"$48,983,500",Priced
34,KLTR,KALTURA INC,NASDAQ Global Select,10.0,15000000,07/21/2021,"$150,000,000",Priced
35,PYCR,"PAYCOR HCM, INC.",NASDAQ Global Select,23.0,18500000,07/21/2021,"$425,500,000",Priced
36,PFTAU,PORTAGE FINTECH ACQUISITION CORP.,NASDAQ Capital,10.0,24000000,07/21/2021,"$240,000,000",Priced
37,VTEX,VTEX,NYSE,19.0,19000000,07/21/2021,"$361,000,000",Priced
38,VEEE,"Twin Vee PowerCats, Co.",NASDAQ Capital,6.0,3000000,07/21/2021,"$18,000,000",Priced
39,NHICU,NewHold Investment Corp. II,NASDAQ Capital,10.0,17500000,07/21/2021,"$175,000,000",Priced
40,LAW,"CS Disco, Inc.",NYSE,32.0,7000000,07/21/2021,"$224,000,000",Priced
41,TRTLU,TortoiseEcofin Acquisition Corp. III,NYSE,10.0,30000000,07/20/2021,"$300,000,000",Priced
